Jogador,Liga,Clube,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G-PB,PB,PT,CrtsA,CrtV,G_90,A_90,G+A_90
Josep Antoni Gayá,La Liga,Mallorca,ESP,DEF,21,1,1,58,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0
Clément Grenier,La Liga,Mallorca,FRA,MEI,30,5,0,60,0.7,1,0,1,0,0,1,0,1.43,0.0,1.43
Rominigue Kouamé,Ligue 1,Troyes,MLI,MEI,24,34,34,2968,33.0,1,2,1,0,0,5,0,0.03,0.06,0.09
Gauthier Gallon,Ligue 1,Troyes,FRA,GK,28,31,31,2790,31.0,0,0,0,0,0,2,0,0.0,0.0,0.0
Xavier Chavalerin,Ligue 1,Troyes,FRA,MEI,30,34,31,2717,30.2,5,2,5,0,0,4,0,0.17,0.07,0.23
Yoann Salmier,Ligue 1,Troyes,GUF,DEF,28,31,30,2668,29.6,0,1,0,0,0,5,0,0.0,0.03,0.03
Florian Tardieu,Ligue 1,Troyes,FRA,MEI,29,30,29,2632,29.2,4,2,0,4,4,6,0,0.14,0.07,0.21
Giulian Biancone,Ligue 1,Troyes,FRA,DEF,21,33,26,2292,25.5,1,2,1,0,0,10,0,0.04,0.08,0.12
Issa Kaboré,Ligue 1,Troyes,BFA,DEF,20,31,26,2254,25.0,0,1,0,0,0,8,2,0.0,0.04,0.04
Renaud Ripart,Ligue 1,Troyes,FRA,ATA,28,28,22,1893,21.0,2,2,2,0,0,2,0,0.1,0.1,0.19
Mama Samba Baldé,Ligue 1,Troyes,GNB,ATA,25,30,20,1717,19.1,3,2,3,0,1,1,1,0.16,0.1,0.26
Erik Palmer-Brown,Ligue 1,Troyes,USA,DEF,24,21,19,1734,19.3,0,0,0,0,0,2,0,0.0,0.0,0.0
Jimmy Giraudon,Ligue 1,Troyes,FRA,DEF,29,19,18,1619,18.0,0,0,0,0,0,5,1,0.0,0.0,0.0
Abdu Conté,Ligue 1,Troyes,POR,DEF,23,17,17,1347,15.0,0,1,0,0,0,2,0,0.0,0.07,0.07
Yoann Touzghar,Ligue 1,Troyes,TUN,ATA,34,28,16,1457,16.2,4,0,4,0,0,0,0,0.25,0.0,0.25
Adil Rami,Ligue 1,Troyes,FRA,DEF,35,17,14,1171,13.0,3,0,3,0,0,1,0,0.23,0.0,0.23
Tristan Dingomé,Ligue 1,Troyes,CMR,MEI,30,25,12,1077,12.0,2,4,2,0,0,3,0,0.17,0.33,0.5
Oualid El Hajjam,Ligue 1,Troyes,MAR,DEF,30,19,12,1072,11.9,1,1,1,0,0,2,0,0.08,0.08,0.17
Youssouf Koné,Ligue 1,Troyes,MLI,DEF,26,21,11,980,10.9,0,1,0,0,0,2,1,0.0,0.09,0.09
Ike Ugbo,Ligue 1,Troyes,CAN,ATA,22,14,11,814,9.0,5,0,4,1,1,0,0,0.56,0.0,0.56
Gerson Rodrigues,Ligue 1,Troyes,LUX,ATA,26,12,9,848,9.4,1,1,1,0,0,6,0,0.11,0.11,0.21
Dylan Chambost,Ligue 1,Troyes,FRA,MEI,23,19,9,753,8.4,0,1,0,0,0,0,0,0.0,0.12,0.12
Jessy Moulin,Ligue 1,Troyes,FRA,GK,35,7,7,630,7.0,0,0,0,0,0,3,1,0.0,0.0,0.0
Lebo Mothiba,Ligue 1,Troyes,RSA,ATA,25,13,5,522,5.8,2,0,1,1,1,1,0,0.34,0.0,0.34
Karim Azamoum,Ligue 1,Troyes,FRA,DEF,31,7,4,388,4.3,0,0,0,0,0,2,0,0.0,0.0,0.0
Yasser Larouci,Ligue 1,Troyes,ALG,DEF,20,12,2,341,3.8,0,0,0,0,0,1,0,0.0,0.0,0.0
Brandon Domingues,Ligue 1,Troyes,FRA,MEI,21,11,1,231,2.6,1,0,1,0,0,0,0,0.38,0.0,0.38
Nassim Chadli,Ligue 1,Troyes,FRA,MEI,20,8,1,96,1.1,0,0,0,0,0,1,0,0.0,0.0,0.0
Philippe Sandler,Ligue 1,Troyes,NED,DEF,24,2,1,70,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0
Suk Hyun-jun,Ligue 1,Troyes,KOR,ATA,30,9,0,153,1.7,0,0,0,0,0,0,0,0.0,0.0,0.0
Eric N'Jo,Ligue 1,Troyes,FRA,DEF,17,2,0,98,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Banhie Zoukrou,Ligue 1,Troyes,FRA,DEF,18,4,0,77,0.9,0,0,0,0,0,1,0,0.0,0.0,0.0
Levi Lumeka,Ligue 1,Troyes,ENG,DEF,22,5,0,67,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0
Mamadou Camara,Ligue 1,Troyes,FRA,ATA,20,3,0,40,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0
Mykola Kukharevych,Ligue 1,Troyes,UKR,ATA,20,2,0,15,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Patrick Roberts,Ligue 1,Troyes,ENG,DEF,24,1,0,14,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Luís Maximiano,La Liga,Granada,POR,GK,22,34,34,3046,33.8,0,0,0,0,0,2,0,0.0,0.0,0.0
Luis Javier Suárez,La Liga,Granada,COL,ATA,23,36,33,2782,30.9,8,4,8,0,1,6,0,0.26,0.13,0.39
Luis Milla,La Liga,Granada,ESP,MEI,26,33,32,2693,29.9,3,3,0,3,3,4,0,0.1,0.1,0.2
Quini,La Liga,Granada,ESP,DEF,31,32,27,2304,25.6,0,1,0,0,0,11,0,0.0,0.04,0.04
Antonio Puertas,La Liga,Granada,ESP,MEI,29,33,25,2261,25.1,6,1,6,0,0,4,0,0.24,0.04,0.28
Germán Sánchez,La Liga,Granada,ESP,DEF,34,31,24,2209,24.5,2,1,2,0,0,10,1,0.08,0.04,0.12
Carlos Neva,La Liga,Granada,ESP,DEF,25,26,24,2108,23.4,0,0,0,0,0,1,0,0.0,0.0,0.0
Jorge Molina,La Liga,Granada,ESP,ATA,39,35,19,1966,21.8,10,5,10,0,1,2,0,0.46,0.23,0.69
Domingos Duarte,La Liga,Granada,POR,DEF,26,21,19,1687,18.7,1,0,1,0,0,7,1,0.05,0.0,0.05
Maxime Gonalons,La Liga,Granada,FRA,MEI,32,24,19,1460,16.2,0,2,0,0,0,6,0,0.0,0.12,0.12
Víctor Díaz,La Liga,Granada,ESP,DEF,33,22,18,1500,16.7,1,0,1,0,0,5,0,0.06,0.0,0.06
Darwin Machís,La Liga,Granada,VEN,MEI,28,25,16,1376,15.3,4,2,4,0,0,2,0,0.26,0.13,0.39
Sergio Escudero,La Liga,Granada,ESP,DEF,31,27,15,1434,15.9,2,1,2,0,0,6,0,0.13,0.06,0.19
Raúl Torrente,La Liga,Granada,ESP,DEF,20,18,15,1282,14.2,0,0,0,0,0,5,0,0.0,0.0,0.0
Ángel Montoro,La Liga,Granada,ESP,MEI,33,24,13,1331,14.8,1,1,1,0,0,5,0,0.07,0.07,0.14
Álex Collado,La Liga,Granada,ESP,MEI,22,17,13,1020,11.3,2,1,2,0,0,1,0,0.18,0.09,0.27
Njegoš Petrović,La Liga,Granada,SRB,MEI,22,15,10,918,10.2,0,1,0,0,0,5,0,0.0,0.1,0.1
Myrto Uzuni,La Liga,Granada,ALB,MEI,26,15,9,856,9.5,1,1,1,0,0,4,0,0.11,0.11,0.21
Rubén Rochina,La Liga,Granada,ESP,MEI,30,15,8,743,8.3,1,3,1,0,0,3,0,0.12,0.36,0.48
Monchu,La Liga,Granada,ESP,MEI,21,14,7,668,7.4,0,0,0,0,0,3,1,0.0,0.0,0.0
Alberto Soro,La Liga,Granada,ESP,MEI,22,16,7,578,6.4,0,0,0,0,0,0,0,0.0,0.0,0.0
Luis Abram,La Liga,Granada,PER,DEF,25,8,6,560,6.2,0,0,0,0,0,2,0,0.0,0.0,0.0
Carlos Bacca,La Liga,Granada,COL,ATA,34,17,4,513,5.7,0,1,0,0,0,3,0,0.0,0.18,0.18
Santiago Arias,La Liga,Granada,COL,DEF,29,12,4,440,4.9,1,0,1,0,0,1,0,0.2,0.0,0.2
Aarón Escandell,La Liga,Granada,ESP,GK,25,4,3,284,3.2,0,0,0,0,0,1,1,0.0,0.0,0.0
Isma Ruiz,La Liga,Granada,ESP,MEI,20,8,3,283,3.1,0,0,0,0,0,1,0,0.0,0.0,0.0
Yan Brice Eteki,La Liga,Granada,CMR,MEI,23,12,2,343,3.8,0,0,0,0,0,3,0,0.0,0.0,0.0
Dimitri Foulquier,La Liga,Granada,FRA,DEF,28,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Matias Arezo,La Liga,Granada,URU,ATA,18,8,1,162,1.8,0,0,0,0,0,1,0,0.0,0.0,0.0
Barcia,La Liga,Granada,ESP,DEF,20,1,1,75,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0
Dani Raba,La Liga,Granada,ESP,MEI,25,2,0,26,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0
Illan Meslier,Premier League,Leeds United,FRA,GK,21,38,38,3384,37.6,0,0,0,0,0,2,0,0.0,0.0,0.0
Stuart Dallas,Premier League,Leeds United,NIR,DEF,30,34,34,2919,32.4,1,1,1,0,0,5,0,0.03,0.03,0.06
Raphael Dias Belloli,Premier League,Leeds United,BRA,ATA,24,35,34,2915,32.4,11,3,7,4,4,7,0,0.34,0.09,0.43
Jack Harrison,Premier League,Leeds United,ENG,ATA,24,35,32,2639,29.3,8,1,8,0,0,3,0,0.27,0.03,0.31
Daniel James,Premier League,Leeds United,WAL,ATA,23,32,29,2366,26.3,4,4,4,0,0,7,1,0.15,0.15,0.3
Diego Llorente,Premier League,Leeds United,ESP,DEF,27,28,28,2340,26.0,3,0,3,0,0,7,0,0.12,0.0,0.12
Rodrigo,Premier League,Leeds United,ESP,MEI,30,31,27,2265,25.2,6,1,5,1,1,9,0,0.24,0.04,0.28
Luke Ayling,Premier League,Leeds United,ENG,DEF,29,26,26,2272,25.2,2,2,2,0,0,4,1,0.08,0.08,0.16
Mateusz Klich,Premier League,Leeds United,POL,MEI,31,33,26,2073,23.0,1,2,1,0,0,5,0,0.04,0.09,0.13
Pascal Struijk,Premier League,Leeds United,NED,DEF,21,29,22,2055,22.8,1,0,1,0,0,6,1,0.04,0.0,0.04
Liam Cooper,Premier League,Leeds United,SCO,DEF,29,21,21,1814,20.2,0,1,0,0,0,5,0,0.0,0.05,0.05
Junior Firpo,Premier League,Leeds United,ESP,DEF,24,24,19,1711,19.0,0,2,0,0,0,11,0,0.0,0.11,0.11
Kalvin Phillips,Premier League,Leeds United,ENG,MEI,25,20,18,1596,17.7,0,1,0,0,0,4,0,0.0,0.06,0.06
Robin Koch,Premier League,Leeds United,GER,MEI,25,20,17,1574,17.5,0,0,0,0,0,3,0,0.0,0.0,0.0
Adam Forshaw,Premier League,Leeds United,ENG,MEI,29,22,17,1530,17.0,0,1,0,0,0,5,0,0.0,0.06,0.06
Tyler Roberts,Premier League,Leeds United,WAL,MEI,22,23,7,987,11.0,1,1,1,0,0,5,0,0.09,0.09,0.18
Jamie Shackleton,Premier League,Leeds United,ENG,DEF,21,14,7,709,7.9,0,0,0,0,0,4,0,0.0,0.0,0.0
Patrick Bamford,Premier League,Leeds United,ENG,ATA,27,9,7,559,6.2,2,2,2,0,0,2,0,0.32,0.32,0.65
Joe Gelhardt,Premier League,Leeds United,ENG,ATA,19,20,5,746,8.3,2,2,2,0,0,4,0,0.24,0.24,0.48
Sam Greenwood,Premier League,Leeds United,ENG,MEI,19,7,1,237,2.6,0,2,0,0,0,0,0,0.0,0.77,0.77
Lewis Bate,Premier League,Leeds United,ENG,MEI,18,3,1,146,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0
Charlie Cresswell,Premier League,Leeds United,ENG,DEF,18,5,1,141,1.6,0,0,0,0,0,1,0,0.0,0.0,0.0
Cody Drameh,Premier League,Leeds United,ENG,DEF,19,3,1,128,1.4,0,0,0,0,0,1,0,0.0,0.0,0.0
Leo Fuhr Hjelde,Premier League,Leeds United,NOR,DEF,17,2,0,150,1.7,0,0,0,0,0,0,0,0.0,0.0,0.0
Crysencio Summerville,Premier League,Leeds United,NED,MEI,19,6,0,130,1.4,0,0,0,0,0,0,0,0.0,0.0,0.0
Kristoffer Klaesson,Premier League,Leeds United,NOR,GK,20,1,0,36,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0
Hélder Costa,Premier League,Leeds United,ANG,MEI,27,1,0,22,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Liam McCarron,Premier League,Leeds United,SCO,ATA,20,1,0,10,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Wataru Endo,Bundesliga,Stuttgart,JPN,MEI,28,33,33,2899,32.2,4,2,4,0,0,4,0,0.12,0.06,0.19
Konstantinos Mavropanos,Bundesliga,Stuttgart,GRE,DEF,23,31,31,2705,30.1,4,0,4,0,0,3,0,0.13,0.0,0.13
Florian Müller,Bundesliga,Stuttgart,GER,GK,23,30,30,2700,30.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Waldemar Anton,Bundesliga,Stuttgart,GER,DEF,25,29,29,2595,28.8,2,1,2,0,0,6,1,0.07,0.03,0.1
Borna Sosa,Bundesliga,Stuttgart,CRO,DEF,23,28,28,2498,27.8,1,8,1,0,0,4,0,0.04,0.29,0.32
Hiroki Ito,Bundesliga,Stuttgart,JPN,DEF,22,29,26,2348,26.1,1,1,1,0,0,2,0,0.04,0.04,0.08
Atakan Karazor,Bundesliga,Stuttgart,GER,MEI,24,24,23,1898,21.1,0,1,0,0,0,9,1,0.0,0.05,0.05
Orel Mangala,Bundesliga,Stuttgart,BEL,MEI,23,28,22,1853,20.6,1,3,1,0,0,4,0,0.05,0.15,0.19
Chris Führich,Bundesliga,Stuttgart,GER,MEI,23,25,21,1714,19.0,3,2,3,0,0,3,0,0.16,0.11,0.26
Omar Marmoush,Bundesliga,Stuttgart,EGY,ATA,22,21,19,1571,17.5,3,5,3,0,1,3,0,0.17,0.29,0.46
Sasa Kalajdzic,Bundesliga,Stuttgart,AUT,ATA,24,15,13,1221,13.6,6,1,5,1,2,2,0,0.44,0.07,0.51
Tiago Tomás,Bundesliga,Stuttgart,POR,ATA,19,14,13,1075,11.9,4,0,4,0,0,2,0,0.34,0.0,0.34
Tanguy Coulibaly,Bundesliga,Stuttgart,FRA,DEF,20,21,11,1079,12.0,0,1,0,0,0,8,0,0.0,0.08,0.08
Philipp Förster,Bundesliga,Stuttgart,GER,ATA,26,20,11,967,10.7,2,1,2,0,0,4,0,0.19,0.09,0.28
Roberto Massimo,Bundesliga,Stuttgart,GER,DEF,20,19,11,877,9.7,2,0,2,0,0,0,0,0.21,0.0,0.21
Marc-Oliver Kempf,Bundesliga,Stuttgart,GER,DEF,26,12,10,840,9.3,3,0,3,0,0,2,0,0.32,0.0,0.32
Pascal Stenzel,Bundesliga,Stuttgart,GER,DEF,25,16,9,899,10.0,0,0,0,0,0,1,0,0.0,0.0,0.0
Mateo Klimowicz,Bundesliga,Stuttgart,GER,ATA,21,15,7,603,6.7,0,1,0,0,0,2,0,0.0,0.15,0.15
Hamadi Al Ghaddioui,Bundesliga,Stuttgart,MAR,ATA,30,10,7,498,5.5,2,2,2,0,0,2,0,0.36,0.36,0.73
Nikolas Nartey,Bundesliga,Stuttgart,DEN,MEI,21,8,4,404,4.5,0,0,0,0,0,1,0,0.0,0.0,0.0
Fabian Bredlow,Bundesliga,Stuttgart,GER,GK,26,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Philipp Klement,Bundesliga,Stuttgart,GER,MEI,28,6,3,338,3.8,1,0,1,0,0,0,0,0.26,0.0,0.26
Silas Katompa,Bundesliga,Stuttgart,COD,MEI,22,9,3,277,3.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Alexis Tibidi,Bundesliga,Stuttgart,FRA,ATA,17,13,2,385,4.3,0,0,0,0,0,1,0,0.0,0.0,0.0
Daniel Didavi,Bundesliga,Stuttgart,GER,ATA,31,10,2,277,3.1,0,1,0,0,0,1,0,0.0,0.32,0.32
Erik Thommy,Bundesliga,Stuttgart,GER,DEF,26,11,1,274,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Clinton Mola,Bundesliga,Stuttgart,ENG,DEF,20,3,1,113,1.3,0,0,0,0,0,0,0,0.0,0.0,0.0
Wahidullah Faghir,Bundesliga,Stuttgart,DEN,ATA,18,6,0,123,1.4,1,0,1,0,0,0,0,0.71,0.0,0.71
Ömer Faruk Beyaz,Bundesliga,Stuttgart,TUR,ATA,17,4,0,71,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0
Naouirou Ahamada,Bundesliga,Stuttgart,FRA,MEI,19,3,0,61,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0
Enzo Millot,Bundesliga,Stuttgart,FRA,MEI,19,6,0,53,0.6,0,1,0,0,0,0,0,0.0,1.67,1.67
Lilian Egloff,Bundesliga,Stuttgart,GER,ATA,18,4,0,31,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0
Matej Maglica,Bundesliga,Stuttgart,CRO,DEF,22,1,0,6,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Santiago Ascacíbar,Bundesliga,Hertha BSC,ARG,MEI,24,28,27,2375,26.4,0,1,0,0,0,5,0,0.0,0.04,0.04
Suat Serdar,Bundesliga,Hertha BSC,GER,MEI,24,30,27,2218,24.6,3,0,3,0,0,6,0,0.12,0.0,0.12
Peter Pekarík,Bundesliga,Hertha BSC,SVK,DEF,34,27,26,2234,24.8,0,0,0,0,0,1,0,0.0,0.0,0.0
Alexander Schwolow,Bundesliga,Hertha BSC,GER,GK,29,25,25,2175,24.2,0,0,0,0,0,1,0,0.0,0.0,0.0
Vladimír Darida,Bundesliga,Hertha BSC,CZE,MEI,30,25,23,1786,19.8,2,5,2,0,0,6,0,0.1,0.25,0.35
Niklas Stark,Bundesliga,Hertha BSC,GER,DEF,26,26,22,2031,22.6,1,0,1,0,0,3,0,0.04,0.0,0.04
Lucas Tousart,Bundesliga,Hertha BSC,FRA,MEI,24,30,22,1962,21.8,2,0,2,0,0,3,0,0.09,0.0,0.09
Dedryck Boyata,Bundesliga,Hertha BSC,BEL,DEF,30,23,22,1898,21.1,0,0,0,0,0,1,1,0.0,0.0,0.0
Marco Richter,Bundesliga,Hertha BSC,GER,ATA,23,30,19,1704,18.9,5,1,5,0,0,6,0,0.26,0.05,0.32
Marvin Plattenhardt,Bundesliga,Hertha BSC,GER,DEF,29,21,19,1637,18.2,0,3,0,0,0,3,0,0.0,0.16,0.16
Ishak Belfodil,Bundesliga,Hertha BSC,ALG,ATA,29,26,17,1636,18.2,5,2,4,1,1,1,0,0.27,0.11,0.38
Maximilian Mittelstädt,Bundesliga,Hertha BSC,GER,DEF,24,24,16,1493,16.6,0,5,0,0,0,3,0,0.0,0.3,0.3
Stevan Jovetić,Bundesliga,Hertha BSC,MNE,ATA,31,18,13,1017,11.3,6,1,6,0,0,3,0,0.53,0.09,0.62
Marc-Oliver Kempf,Bundesliga,Hertha BSC,GER,DEF,26,12,12,1051,11.7,0,1,0,0,0,1,1,0.0,0.09,0.09
Davie Selke,Bundesliga,Hertha BSC,GER,ATA,26,25,10,1004,11.2,4,0,3,1,1,2,0,0.36,0.0,0.36
Marcel Lotka,Bundesliga,Hertha BSC,POL,GK,20,10,9,885,9.8,0,0,0,0,0,1,0,0.0,0.0,0.0
Myziane Maolida,Bundesliga,Hertha BSC,FRA,ATA,22,14,9,776,8.6,1,1,1,0,0,0,0,0.12,0.12,0.23
Márton Dárdai,Bundesliga,Hertha BSC,GER,DEF,19,12,9,755,8.4,0,1,0,0,0,2,0,0.0,0.12,0.12
Kevin-Prince Boateng,Bundesliga,Hertha BSC,GHA,MEI,34,18,8,696,7.7,0,0,0,0,0,8,0,0.0,0.0,0.0
Jurgen Ekkelenkamp,Bundesliga,Hertha BSC,NED,MEI,21,21,6,718,8.0,3,0,3,0,0,1,0,0.38,0.0,0.38
Linus Gechter,Bundesliga,Hertha BSC,GER,DEF,17,13,6,716,8.0,1,0,1,0,0,0,0,0.12,0.0,0.12
Deyovaisio Zeefuik,Bundesliga,Hertha BSC,NED,DEF,23,11,6,565,6.3,0,0,0,0,0,1,0,0.0,0.0,0.0
Jordan Torunarigha,Bundesliga,Hertha BSC,GER,DEF,23,7,6,483,5.4,0,1,0,0,0,1,0,0.0,0.19,0.19
Krzysztof Piątek,Bundesliga,Hertha BSC,POL,ATA,26,9,4,347,3.9,1,0,1,0,0,0,0,0.26,0.0,0.26
Fredrik André Bjørkan,Bundesliga,Hertha BSC,NOR,DEF,22,9,2,353,3.9,0,0,0,0,0,1,0,0.0,0.0,0.0
Lukas Klünter,Bundesliga,Hertha BSC,GER,DEF,25,5,2,194,2.2,0,0,0,0,0,1,0,0.0,0.0,0.0
Dodi Lukebakio,Bundesliga,Hertha BSC,BEL,ATA,23,3,2,176,2.0,1,0,0,1,1,0,0,0.5,0.0,0.5
Dennis Jastrzembski,Bundesliga,Hertha BSC,POL,DEF,21,8,1,225,2.5,0,0,0,0,0,1,0,0.0,0.0,0.0
Javairô Dilrosun,Bundesliga,Hertha BSC,NED,ATA,23,2,1,138,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0
Lee Dongjun,Bundesliga,Hertha BSC,KOR,MEI,24,4,1,118,1.3,0,0,0,0,0,0,0,0.0,0.0,0.0
Matheus Cunha,Bundesliga,Hertha BSC,BRA,ATA,22,1,1,64,0.7,0,1,0,0,0,0,0,0.0,1.43,1.43
Julian Eitschberger,Bundesliga,Hertha BSC,GER,DEF,17,1,1,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0
Anton Kade,Bundesliga,Hertha BSC,GER,MEI,17,4,0,77,0.9,0,0,0,0,0,0,0,0.0,0.0,0.0
Marten Winkler,Bundesliga,Hertha BSC,GER,MEI,18,1,0,26,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0
Cimo Röcker,Bundesliga,Hertha BSC,GER,DEF,27,1,0,22,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Luca Wollschläger,Bundesliga,Hertha BSC,GER,ATA,18,2,0,16,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Antonio Candreva,Serie A,Sampdoria,ITA,MEI,34,36,36,3119,34.7,7,10,6,1,2,6,1,0.2,0.29,0.49
Bartosz Bereszyński,Serie A,Sampdoria,POL,DEF,29,35,35,2946,32.7,0,3,0,0,0,12,0,0.0,0.09,0.09
Morten Thorsby,Serie A,Sampdoria,NOR,MEI,25,35,35,2943,32.7,3,1,3,0,0,10,0,0.09,0.03,0.12
Francesco Caputo,Serie A,Sampdoria,ITA,ATA,33,36,31,2790,31.0,11,3,11,0,1,0,0,0.35,0.1,0.45
Omar Colley,Serie A,Sampdoria,GAM,DEF,28,32,31,2745,30.5,0,0,0,0,0,6,1,0.0,0.0,0.0
Emil Audero,Serie A,Sampdoria,ITA,GK,24,29,29,2560,28.4,0,0,0,0,0,2,0,0.0,0.0,0.0
Tommaso Augello,Serie A,Sampdoria,ITA,DEF,26,36,25,2395,26.6,1,1,1,0,0,0,0,0.04,0.04,0.08
Alex Ferrari,Serie A,Sampdoria,ITA,DEF,27,23,20,1643,18.3,1,0,1,0,0,4,0,0.05,0.0,0.05
Maya Yoshida,Serie A,Sampdoria,JPN,DEF,32,26,19,1823,20.3,2,3,2,0,0,2,0,0.1,0.15,0.25
Fabio Quagliarella,Serie A,Sampdoria,ITA,ATA,38,33,19,1664,18.5,4,2,3,1,1,2,0,0.22,0.11,0.32
Albin Ekdal,Serie A,Sampdoria,SWE,MEI,32,26,19,1637,18.2,1,0,1,0,0,11,1,0.05,0.0,0.05
Manolo Gabbiadini,Serie A,Sampdoria,ITA,ATA,29,18,15,1140,12.7,6,2,6,0,0,3,0,0.47,0.16,0.63
Tomás Rincón,Serie A,Sampdoria,VEN,MEI,33,17,13,1166,13.0,0,0,0,0,0,3,0,0.0,0.0,0.0
Nicola Murru,Serie A,Sampdoria,ITA,DEF,26,22,13,983,10.9,1,0,1,0,0,5,0,0.09,0.0,0.09
Adrien Silva,Serie A,Sampdoria,POR,MEI,32,17,12,1083,12.0,0,1,0,0,0,3,1,0.0,0.08,0.08
Stefano Sensi,Serie A,Sampdoria,ITA,MEI,25,11,10,754,8.4,1,0,1,0,0,1,0,0.12,0.0,0.12
Abdelhamid Sabiri,Serie A,Sampdoria,GER,MEI,24,14,9,893,9.9,3,2,3,0,0,3,0,0.3,0.2,0.51
Wladimiro Falcone,Serie A,Sampdoria,ITA,GK,26,10,9,855,9.5,0,0,0,0,0,2,0,0.0,0.0,0.0
Kristoffer Askildsen,Serie A,Sampdoria,NOR,MEI,20,19,7,754,8.4,0,0,0,0,0,5,0,0.0,0.0,0.0
Mikkel Damsgaard,Serie A,Sampdoria,DEN,MEI,21,11,6,578,6.4,0,0,0,0,0,1,0,0.0,0.0,0.0
Valerio Verre,Serie A,Sampdoria,ITA,MEI,27,11,6,420,4.7,0,0,0,0,0,0,0,0.0,0.0,0.0
Radu Drăgușin,Serie A,Sampdoria,ROU,DEF,19,13,4,620,6.9,0,0,0,0,0,1,0,0.0,0.0,0.0
Ronaldo Vieira,Serie A,Sampdoria,GNB,MEI,23,14,4,495,5.5,0,0,0,0,0,3,0,0.0,0.0,0.0
Julian Chabot,Serie A,Sampdoria,GER,DEF,23,11,4,490,5.4,0,0,0,0,0,5,0,0.0,0.0,0.0
Giangiacomo Magnani,Serie A,Sampdoria,ITA,DEF,25,4,3,239,2.7,0,0,0,0,0,0,0,0.0,0.0,0.0
Andrea Conti,Serie A,Sampdoria,ITA,DEF,27,7,2,234,2.6,1,0,1,0,0,1,0,0.38,0.0,0.38
Riccardo Ciervo,Serie A,Sampdoria,ITA,MEI,19,10,1,227,2.5,0,1,0,0,0,0,0,0.0,0.4,0.4
Fabio Depaoli,Serie A,Sampdoria,ITA,MEI,24,6,1,112,1.2,0,0,0,0,0,1,0,0.0,0.0,0.0
Ernesto Torregrossa,Serie A,Sampdoria,ITA,ATA,29,10,0,116,1.3,0,0,0,0,0,1,0,0.0,0.0,0.0
Simone Trimboli,Serie A,Sampdoria,ITA,MEI,19,5,0,65,0.7,0,0,0,0,0,1,0,0.0,0.0,0.0
Sebastian Giovinco,Serie A,Sampdoria,ITA,MEI,34,2,0,39,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0
Vladyslav Supriaha,Serie A,Sampdoria,UKR,ATA,21,1,0,22,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Gerard Yepes,Serie A,Sampdoria,ESP,MEI,18,4,0,21,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Nicola Ravaglia,Serie A,Sampdoria,ITA,GK,32,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Houboulang Mendes,Ligue 1,Lorient,FRA,DEF,23,36,36,3220,35.8,0,1,0,0,0,5,1,0.0,0.03,0.03
Vincent Le Goff,Ligue 1,Lorient,FRA,DEF,31,34,34,3060,34.0,1,1,1,0,0,1,0,0.03,0.03,0.06
Laurent Abergel,Ligue 1,Lorient,FRA,MEI,28,34,34,2956,32.8,0,2,0,0,0,9,0,0.0,0.06,0.06
Terem Moffi,Ligue 1,Lorient,NGA,ATA,22,37,34,2711,30.1,8,4,6,2,2,1,0,0.27,0.13,0.4
Julien Laporte,Ligue 1,Lorient,FRA,DEF,27,33,33,2891,32.1,2,0,2,0,0,7,0,0.06,0.0,0.06
Armand Lauriente,Ligue 1,Lorient,FRA,ATA,22,35,28,2477,27.5,6,2,5,1,1,5,0,0.22,0.07,0.29
Thomas Monconduit,Ligue 1,Lorient,FRA,MEI,30,34,26,2248,25.0,3,2,3,0,0,5,0,0.12,0.08,0.2
